state,value
City of London,-0.05
Barking and Dagenham,0.03
Barnet,0.06
Bexley,0.08
Brent,0.01
Bromley,0.07
Camden,0
Croydon,0.04
Ealing,0.03
Enfield,0.03
Greenwich,0.02
Hackney,-0.02
Hammersmith and Fulham,0.02
Haringey,0.02
Harrow,0.05
Havering,0.07
Hillingdon,0.06
Hounslow,0.01
Islington,-0.02
Kensington and Chelsea,0.01
Kingston upon Thames,0.03
Lambeth,-0.01
Lewisham,0.03
Merton,0.04
Newham,0.02
Redbridge,0.03
Richmond upon Thames,0.05
Southwark,0
Sutton,0.05
Tower Hamlets,-0.06
Waltham Forest,0.02
Wandsworth,0.02
Westminster,-0.0
,
,